state,govt_hospitals_total,lat,lng
Andhra Pradesh,3200,15.9129,79.7400
Arunachal Pradesh,280,28.2180,94.7278
Assam,1500,26.2006,92.9376
Bihar,2200,25.0961,85.3131
Chhattisgarh,1300,21.2787,81.8661
Goa,60,15.2993,74.1240
Gujarat,2100,22.2587,71.1924
Haryana,760,29.0588,76.0856
Himachal Pradesh,900,31.1048,77.1734
Jharkhand,700,23.6102,85.2799
Karnataka,2900,15.3173,75.7139
Kerala,1300,10.8505,76.2711
Madhya Pradesh,2900,22.9734,78.6569
Maharashtra,3400,19.7515,75.7139
Manipur,240,24.6637,93.9063
Meghalaya,420,25.4670,91.3662
Mizoram,180,23.1645,92.9376
Nagaland,180,26.1584,94.5624
Odisha,1600,20.9517,85.0985
Punjab,780,31.1471,75.3412
Rajasthan,2400,27.0238,74.2179
Sikkim,50,27.5330,88.5122
Tamil Nadu,3200,11.1271,78.6569
Telangana,1900,18.1124,79.0193
Tripura,270,23.9408,91.9882
Uttar Pradesh,4500,26.8467,80.9462
Uttarakhand,700,30.0668,79.0193
West Bengal,2700,22.9868,87.8550
Delhi,110,28.7041,77.1025
Jammu and Kashmir,650,33.7782,76.5762
